repo_owner,repo_name,pr_number,pr_url,pr_status,analysis_time_hours,size_files_changed,size_lines_added,size_lines_removed,description_chars,interaction_participants,interaction_comments,num_reviews
freeCodeCamp,freeCodeCamp,55885,https://github.com/freeCodeCamp/freeCodeCamp/pull/55885,MERGED,917.57,4,242,1,750,5,0,10
freeCodeCamp,freeCodeCamp,55492,https://github.com/freeCodeCamp/freeCodeCamp/pull/55492,MERGED,1016.09,4,446,1,948,5,1,17
freeCodeCamp,freeCodeCamp,60935,https://github.com/freeCodeCamp/freeCodeCamp/pull/60935,CLOSED,1967.13,51,4883,3,807,4,8,18
freeCodeCamp,freeCodeCamp,62272,https://github.com/freeCodeCamp/freeCodeCamp/pull/62272,MERGED,66.0,4,351,49,803,3,0,3
freeCodeCamp,freeCodeCamp,58574,https://github.com/freeCodeCamp/freeCodeCamp/pull/58574,MERGED,65.72,26,1878,0,750,5,0,5
freeCodeCamp,freeCodeCamp,56147,https://github.com/freeCodeCamp/freeCodeCamp/pull/56147,MERGED,3.24,3,3,3,806,4,0,2
freeCodeCamp,freeCodeCamp,56146,https://github.com/freeCodeCamp/freeCodeCamp/pull/56146,MERGED,2.28,2,2,2,806,3,1,3
freeCodeCamp,freeCodeCamp,57569,https://github.com/freeCodeCamp/freeCodeCamp/pull/57569,MERGED,25.54,1,111,60,801,5,4,3
freeCodeCamp,freeCodeCamp,57078,https://github.com/freeCodeCamp/freeCodeCamp/pull/57078,MERGED,5.36,50,1,3481,1201,3,0,5
freeCodeCamp,freeCodeCamp,60342,https://github.com/freeCodeCamp/freeCodeCamp/pull/60342,MERGED,5.37,1,1,4,864,3,0,2
freeCodeCamp,freeCodeCamp,58472,https://github.com/freeCodeCamp/freeCodeCamp/pull/58472,MERGED,145.48,1,61,63,750,4,1,7
freeCodeCamp,freeCodeCamp,58407,https://github.com/freeCodeCamp/freeCodeCamp/pull/58407,MERGED,223.28,1,22,8,750,6,0,4
freeCodeCamp,freeCodeCamp,58471,https://github.com/freeCodeCamp/freeCodeCamp/pull/58471,MERGED,146.77,1,9,10,750,4,1,3
freeCodeCamp,freeCodeCamp,58477,https://github.com/freeCodeCamp/freeCodeCamp/pull/58477,MERGED,143.43,1,33,39,750,6,0,7
freeCodeCamp,freeCodeCamp,58408,https://github.com/freeCodeCamp/freeCodeCamp/pull/58408,MERGED,245.81,1,57,282,750,4,2,6
freeCodeCamp,freeCodeCamp,58569,https://github.com/freeCodeCamp/freeCodeCamp/pull/58569,MERGED,70.54,1,61,47,750,5,1,10
freeCodeCamp,freeCodeCamp,60729,https://github.com/freeCodeCamp/freeCodeCamp/pull/60729,MERGED,195.98,15,2010,81,873,4,2,13
freeCodeCamp,freeCodeCamp,60590,https://github.com/freeCodeCamp/freeCodeCamp/pull/60590,MERGED,1352.11,2,158,5,795,5,3,5
freeCodeCamp,freeCodeCamp,60462,https://github.com/freeCodeCamp/freeCodeCamp/pull/60462,MERGED,1011.92,1,23,23,906,3,0,2
freeCodeCamp,freeCodeCamp,57073,https://github.com/freeCodeCamp/freeCodeCamp/pull/57073,MERGED,131.67,73,25310,1,806,3,0,2
freeCodeCamp,freeCodeCamp,58617,https://github.com/freeCodeCamp/freeCodeCamp/pull/58617,MERGED,166.13,4,527,0,750,6,0,8
freeCodeCamp,freeCodeCamp,58630,https://github.com/freeCodeCamp/freeCodeCamp/pull/58630,MERGED,74.66,2,385,0,997,4,0,12
freeCodeCamp,freeCodeCamp,58896,https://github.com/freeCodeCamp/freeCodeCamp/pull/58896,MERGED,140.73,5,272,6,750,3,0,4
freeCodeCamp,freeCodeCamp,58897,https://github.com/freeCodeCamp/freeCodeCamp/pull/58897,MERGED,123.16,7,400,7,750,3,0,3
freeCodeCamp,freeCodeCamp,58615,https://github.com/freeCodeCamp/freeCodeCamp/pull/58615,MERGED,5.89,2,162,0,750,3,0,3
freeCodeCamp,freeCodeCamp,58197,https://github.com/freeCodeCamp/freeCodeCamp/pull/58197,MERGED,107.4,2,98,0,750,3,0,6
freeCodeCamp,freeCodeCamp,58181,https://github.com/freeCodeCamp/freeCodeCamp/pull/58181,MERGED,81.3,1,105,0,931,4,1,3
freeCodeCamp,freeCodeCamp,58714,https://github.com/freeCodeCamp/freeCodeCamp/pull/58714,MERGED,32.25,8,442,0,750,4,0,4
freeCodeCamp,freeCodeCamp,58616,https://github.com/freeCodeCamp/freeCodeCamp/pull/58616,MERGED,19.86,3,272,0,736,4,0,5
freeCodeCamp,freeCodeCamp,61771,https://github.com/freeCodeCamp/freeCodeCamp/pull/61771,MERGED,45.76,3,257,6,806,4,0,2
freeCodeCamp,freeCodeCamp,58612,https://github.com/freeCodeCamp/freeCodeCamp/pull/58612,MERGED,6.48,1,38,0,750,3,0,4
freeCodeCamp,freeCodeCamp,58222,https://github.com/freeCodeCamp/freeCodeCamp/pull/58222,MERGED,99.11,5,166,0,750,3,0,3
freeCodeCamp,freeCodeCamp,58223,https://github.com/freeCodeCamp/freeCodeCamp/pull/58223,MERGED,231.17,3,104,0,750,4,0,3
freeCodeCamp,freeCodeCamp,58596,https://github.com/freeCodeCamp/freeCodeCamp/pull/58596,MERGED,146.97,23,1279,0,750,5,0,8
freeCodeCamp,freeCodeCamp,61642,https://github.com/freeCodeCamp/freeCodeCamp/pull/61642,MERGED,99.62,1,25,25,806,4,0,7
freeCodeCamp,freeCodeCamp,62412,https://github.com/freeCodeCamp/freeCodeCamp/pull/62412,MERGED,1.19,8,0,597,933,3,1,2
freeCodeCamp,freeCodeCamp,62410,https://github.com/freeCodeCamp/freeCodeCamp/pull/62410,MERGED,1.72,20,500,40,45,3,0,2
freeCodeCamp,freeCodeCamp,62404,https://github.com/freeCodeCamp/freeCodeCamp/pull/62404,MERGED,6.16,2,20,0,762,3,0,2
freeCodeCamp,freeCodeCamp,62405,https://github.com/freeCodeCamp/freeCodeCamp/pull/62405,MERGED,3.2,1,1,1,761,3,0,2
freeCodeCamp,freeCodeCamp,61204,https://github.com/freeCodeCamp/freeCodeCamp/pull/61204,CLOSED,1357.96,7,76,10,1038,5,6,4
freeCodeCamp,freeCodeCamp,62390,https://github.com/freeCodeCamp/freeCodeCamp/pull/62390,MERGED,8.61,1,1,1,747,3,0,2
